dataset,method,n,evaluated_count,failed,unavailable,mse_mean,mse_p95,mse_max,max_squared_error_mean,max_squared_error_p95,max_squared_error_max,max_squared_error_valid_count,max_squared_error_missing_count,fit_pass_rate,reference_mse_mean,reference_mse_max,reference_max_squared_error_mean,reference_max_squared_error_p95,reference_max_squared_error_max,reference_max_squared_error_valid_count,reference_max_squared_error_missing_count,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
UJI,ours,1,1,0,0,7.857341908355792e-06,7.857341908355792e-06,7.857341908355792e-06,0.00015144414481330293,0.00015144414481330293,0.00015144414481330293,1,0,1.0,2.3262571389598368e-05,2.3262571389598368e-05,0.00027325088589670756,0.00027325088589670756,0.00027325088589670756,1,0,1.0,20.0,,,,,,25.482,18.9487
UJI,park_dominant_point_2007_adaptation,1,1,0,0,2.6974677916307223e-05,2.6974677916307223e-05,2.6974677916307223e-05,0.0003099847464365989,0.0003099847464365989,0.0003099847464365989,1,0,1.0,5.455640898577059e-05,5.455640898577059e-05,0.00032585764206133756,0.00032585764206133756,0.00032585764206133756,1,0,0.0,5.0,,,,,,14.933300029952079,
UJI,liang_feature_iki_2017_adaptation,1,1,0,0,3.931413665854607e-05,3.931413665854607e-05,3.931413665854607e-05,0.0008125378900212721,0.0008125378900212721,0.0008125378900212721,1,0,1.0,8.360829992816931e-05,8.360829992816931e-05,0.0010486464128137139,0.0010486464128137139,0.0010486464128137139,1,0,0.0,4.0,,,,,,9.195299993734807,
UJI,dung_direct_knot_2017_adaptation,1,1,0,0,0.00015705737790576804,0.00015705737790576804,0.00015705737790576804,0.002335991767027563,0.002335991767027563,0.002335991767027563,1,0,0.0,0.0002909373313484175,0.0002909373313484175,0.002663957220569673,0.002663957220569673,0.002663957220569673,1,0,0.0,3.0,,,,,,190.591000020504,
UJI,kang_sparse_2015_adaptation,1,1,0,0,0.00023884312646682646,0.00023884312646682646,0.00023884312646682646,0.0028960863160246483,0.0028960863160246483,0.0028960863160246483,1,0,0.0,0.0004264836321528631,0.0004264836321528631,0.003306166447702817,0.003306166447702817,0.003306166447702817,1,0,0.0,1.0,,,,,,2548.7289000302553,
UJI,luo_linf_de_2022_adaptation,1,1,0,0,0.00011123623958147956,0.00011123623958147956,0.00011123623958147956,0.0006223883604234765,0.0006223883604234765,0.0006223883604234765,1,0,0.0,0.00015160090076868336,0.00015160090076868336,0.0006757535020760465,0.0006757535020760465,0.0006757535020760465,1,0,0.0,2.0,,,,,,5989.737499970943,
NaturalEarth,ours,1,1,0,0,7.655797714927209e-05,7.655797714927209e-05,7.655797714927209e-05,0.0007230968192716675,0.0007230968192716675,0.0007230968192716675,1,0,0.0,7.512997069457566e-05,7.512997069457566e-05,0.0007233262456333578,0.0007233262456333578,0.0007233262456333578,1,0,0.0,27.0,,,,,,21.974,19.4966
NaturalEarth,park_dominant_point_2007_adaptation,1,1,0,0,3.5223101604650743e-05,3.5223101604650743e-05,3.5223101604650743e-05,0.0008083802847000149,0.0008083802847000149,0.0008083802847000149,1,0,1.0,3.65573373000332e-05,3.65573373000332e-05,0.0009227114678084556,0.0009227114678084556,0.0009227114678084556,1,0,1.0,25.0,,,,,,99.58380000898615,
NaturalEarth,liang_feature_iki_2017_adaptation,1,1,0,0,4.281806490504016e-05,4.281806490504016e-05,4.281806490504016e-05,0.0004357785705223898,0.0004357785705223898,0.0004357785705223898,1,0,1.0,4.4230978092673784e-05,4.4230978092673784e-05,0.0005595047774457039,0.0005595047774457039,0.0005595047774457039,1,0,1.0,24.0,,,,,,43.98560000117868,
NaturalEarth,dung_direct_knot_2017_adaptation,1,1,0,0,0.0005963145178945506,0.0005963145178945506,0.0005963145178945506,0.005210198543234802,0.005210198543234802,0.005210198543234802,1,0,0.0,0.0006002103976357263,0.0006002103976357263,0.005633980572025948,0.005633980572025948,0.005633980572025948,1,0,0.0,9.0,,,,,,525.5745000322349,
NaturalEarth,kang_sparse_2015_adaptation,1,1,0,0,0.02384325458125687,0.02384325458125687,0.02384325458125687,0.10500100013173991,0.10500100013173991,0.10500100013173991,1,0,0.0,0.023734739055616,0.023734739055616,0.10500099189217234,0.10500099189217234,0.10500099189217234,1,0,0.0,1.0,,,,,,1066.7268999968655,
NaturalEarth,luo_linf_de_2022_adaptation,1,1,0,0,0.0019669958279953945,0.0019669958279953945,0.0019669958279953945,0.0072323812641831575,0.0072323812641831575,0.0072323812641831575,1,0,0.0,0.001981430169247782,0.001981430169247782,0.007862543905753654,0.007862543905753654,0.007862543905753654,1,0,0.0,7.0,,,,,,2562.893999973312,
USGS,ours,1,1,0,0,2.1615311874537323e-05,2.1615311874537323e-05,2.1615311874537323e-05,0.00020489990883574535,0.00020489990883574535,0.00020489990883574535,1,0,1.0,2.0444040503641398e-05,2.0444040503641398e-05,0.00020412568061544875,0.00020412568061544875,0.00020412568061544875,1,0,1.0,28.0,,,,,,21.0423,20.4166
